#id,AGE,MURDER TOOL,CLOTHE,SHOES,HEADWEAR,ACCESSORY,JOB,TIME,PLACE,SOUND,TRACE
31,30s,Ivory Bowie Knife,Logo Printed Sweatshirt,White Basketball Shoes,High Ponytail,Left Ear Pierced,Director,Late Night,Back Seats,Pipe Hitting Wall,Chewed Gum
32,20s,Pry Bar,Long Sleeve Tshirt,Red Football Boots,Pomade Hair,Thick Chain Nechlace,Engineer,Morning,Office,Cat Meow,Fly
33,50s,Bass Guitar,Grey Knit Shirt,Suede Boat shoes,Bob With Bangs,Buddhist Bead Bracelet,Professor,Deep Dawn,Big Old Arboretum,Cutlery Falling down,Bullet
34,20s,Wooden Cane,Old Denim Jacket,Blue Colored Boots,Black Short Babyperm,Engagement Ring,Soldier,Deep Dawn,Female Outfit Outlet,Water Shaking,Black Wig Hair
35,20s,Bottle of Propofol,Yellow Short Cardigan,Black Boots,Natural Two Block,Electronics Anklet,Soldier,Morning,Dormitory High School,Spit On Ground,Crumpled Cigarette Package
36,40s,Glacial Acetic Acid,Blue Shirt,Blue Colored Boots,Brown Short Babyperm,Buddhist Bead Bracelet,Hair Designer,Around Midnight,Messy Goshiwon,Cat Meow,Irregular Footprints
37,40s,Broken Beer Bottle,Lace Blouse,Ivory Converse,Perm With Bangs,Charm Earrings,Mart Cashier,Around Midnight,Rooftop Cafe,Wooden Weapon Falling,Fingerprints
38,50s,Bottle of Propofol,Purple Short Cardigan,Red Converse,Pomade Hair,Skull Shaped Ring,Chef,Late Night,Female Outfit Outlet,TV Sports Commentaries,Body Hair
39,30s,Wrapped Blowfish Sashimi,Undershirt,White Platform Sneakers,Bob Hair,Black Backpack,Cleaner,Early Morning,Messy Club,Water Flowing Sound,Nail Tips
40,20s,Thick Rubber Wire,Grey Knit Shirt,Black Low Sneakers,Mid-long Straight Hair,Wide Leather Bracelet,Athletic Trainer,Morning,Cafe Terrace,Quite Conversation,Body Hair
41,30s,Green Utility Knife,Grey Hiking Jacket,Strapped Leather Sandal,Pixie Cut,Engagement Ring,Director,Morning,Big Old Arboretum,Crack Knuckles,Metal Fragments
42,30s,Black Tea,Cotton Zip Hoodie,Blue Football Boots,High Ponytail,Black Backpack,Athlete,Late Night,PC cafe,Propeller Sound,Feather
43,60s,Old Striped Tie,Grey Knit Shirt,Black Converse,Long Hair,Lion Shaped Ring,Actor,Late Night,Female Outfit Outlet,Crack Knuckles,Skid Mark
44,30s,Wooden Handle Hatchet,Long buttonless Cardigan,Blue Football Boots,Long Hair,Drop earrings,Athlete,Early Morning,Inside Taxi,Grind one`s Teeth,Feather
45,30s,Pry Bar,Long Field Jacket,White Platform Sneakers,Two Block Haircut,Engagement Ring,Sanitation Worker,Night,Underground Grocery Store,Skid Sounds,Lipstick Stained Cigarette
46,40s,Charging Cable,Black Hiking Jacket,Strapped Leather Sandal,High Ponytail,Drop earrings,Engineer,Morning,Inside Camping Car,Counting Money,Scorch Mark
47,30s,Walther PPK .32ACP,Stripe Turtleneck Knit,White Platform Sneakers,Long Curly Hair,Drop earrings,Mechanic,Late Night,Broken Street Lamp,Digging With Shovel,Lipstick Stained Cigarette
48,30s,Surgical Blade,Lace Blouse,Black Low Sneakers,Pomade Hair,Black Backpack,Mart Cashier,Night,Passenger Seat,Quite Conversation,Black Wig Hair
49,40s,Yellow Box Cutter,Lace Blouse,White Running Shoes,High Ponytail,Thick Glasses,Model,Night,Old DVD room,Backpack Stuff Shaking,Written In Blood
50,30s,Submachine Gun K16,Blue Shirt,White Platform Sneakers,Two Block Haircut,Tennis Wristband,Hair Designer,Early Morning,Semi Basement Apartment,Digging With Shovel,Used Toilet Paper
51,30s,Sharp Edged Stone,Pilot Bomber Jacket,Black Converse,Bald Hair,Cross Charm Bracelet,Police Officer,Deep Dawn,New Guest House,Water Flowing Sound,Body Hair
52,50s,Rusty Hammer,Stripe Tshirt,Knee High Wellies,Pomade Hair,Nose Piercing,Mart Cashier,Deep Dawn,Hostel (Normal Dorm),Toilet Flush Sound,Light Brown Hair
53,20s,Walther PPK .32ACP,Old Denim Jacket,White Basketball Shoes,Bald Hair,Thick Chain Nechlace,Soldier,Night,Officetel Management Office,Reading Buddhist Text,Maggot
54,20s,Potassium Cyanide,Duck Patch Hoodie,Brown Leather Loafer,Short Curly Hair,Charm Earrings,Mechanic,Morning,Room Cafe,Grill the Meat,Weapon Without Fingerprint
55,20s,Monkey Wrench,Duck Patch Hoodie,Chess Patteren loafer,Mid-long Ponytail,Thick Chain Nechlace,Chef,Deep Dawn,Motel in Downtown,Bearing Groaning,Nail Tips
56,20s,Wood Branch,Yellow Short Cardigan,White Running Shoes,Mid-long Straight Hair,Millitary Backpack,Athlete,Around Midnight,Small Old Supermarket,Toilet Flush Sound,Disposable Lighter
57,50s,Pesticide,Printed White Tshirt,Brown Leather Loafer,Low Ponytail,Black Disposable Mask,Cleaner,Morning,Middle School,Cutting Something,Black Hair
58,30s,Hydrochloric Acid,Vest With Slits,White Basketball Shoes,Mid-long Straight Hair,Hand Prothetics,Sanitation Worker,Night,New Guest House,Wooden Weapon Falling,Fly
59,20s,Mercury,Crop Vest Knit,Chess Patteren loafer,Comma Hairstyle,Silver Stainless Ring,Firefighter,Late Night,Officetel Underground Parkinglot,Toilet Flush Sound,Empty Cartridge
60,20s,Police Nightstick,Grey Hiking Jacket,Ivory Converse,Mid-long Ponytail,Skull Shaped Ring,Police Officer,Late Night,Night Mountain,Washing Machine Sound,Nail Tips
61,20s,Heavy Glass Ashtray,Ivy League Hoodie,White Running Shoes,Long Hair,Cross Charm Bracelet,Nurse,Deep Dawn,Famous Traditional Market,Washing Machine Sound,Maggot
62,30s,Monkey Wrench,Jersey Zip Hoodie,White Running Shoes,Short Hair,Black Backpack,Mechanic,Late Afternoon,Motel in Downtown,Cat Meow,Arson Attempt
63,20s,Computer Monitor,Cotton Zip Hoodie,Black Low Sneakers,Long Curly Hair,Leg Prosthetics,Mart Cashier,Morning,Big Square Onstage,Chewing Gum,Scorch Mark
64,20s,Irregular Shaped Rock,Undershirt,White Stained Boots,Two Block Haircut,Lip Piercing,Firefighter,Deep Dawn,Old DVD room,Cutting Something,Fibrous Tissues
65,70s,Red Brick,Old Denim Jacket,Brown Flip Flop,Pixie Cut,Lip Piercing,Janitor,Early Morning,Self Service Bar,People Having Conversation,Weapon With Fingerprint
66,30s,Old Circular Saw,Green Hiking Jacket,Strapped Leather Sandal,Short Permed Hair,Lion Shaped Ring,Mechanic,Night,Members Only Studyroom,Throw Up Blood,Lipstick Without Fingerprint
67,20s,Green Paring Knife,Grey Fleece Hoodie,Black Low Sneakers,Long Hair,Black Disposable Mask,Engineer,Morning,Dumpster,People Having Conversation,Feather
68,50s,Pesticide,Khaki Tshirt,White Platform Sneakers,Long Bleached hair,Cross Charm Bracelet,Director,Deep Dawn,New Guest House,Propeller Sound,Maggot
69,40s,Old Circular Saw,Crop Vest Knit,White Running Shoes,Long Bleached hair,Electronics Anklet,Photographer,Morning,Small Old Supermarket,TV Sports Commentaries,Excrements
70,30s,Ice Pick,Lace Blouse,Red Converse,Pink Permed Hair,Wide Leather Bracelet,Nurse,Early Morning,Messy Dumpster Alley,Whistle,Fly
71,60s,Machete,Black Hiking Jacket,White Platform Sneakers,Perm With Bangs,Drop earrings,Guard,Early Morning,Dumpster,Digging With Shovel,Skid Mark
72,30s,Green Utility Knife,Stripe Turtleneck Knit,Ivowy Suede Moccasin,Comma Hairstyle,Lion Shaped Ring,Model,Late Night,Closed Amusement Park,Quite Conversation,Light Brown Hair
73,30s,Sealed Wine Bottle,Pilot Bomber Jacket,Wellies,Cherry Red Hair,Black Backpack,Janitor,Deep Dawn,Members Only Studyroom,Spit On Ground,Black Button
74,40s,Microgun XM214,White Shirt,Black Low Sneakers,Short Hair,Lion Shaped Ring,Engineer,Early Morning,Semi Basement Apartment,Cutting Something,Lipstick Stained Cigarette
75,50s,Transparent Vodka Bottle,Vest With Slits,Strapped Leather Sandal,Perm With Bangs,Lion Shaped Ring,Guard,Early Morning,Franchise Pub,Remote Air Conditioner,Fingerprints
76,40s,Police Nightstick,Grey Knit Shirt,White Stained Boots,Two Block Haircut,Lion Shaped Ring,Athletic Trainer,Early Morning,Old DVD room,Washing Machine Sound,Fly
77,60s,Sniper Gun ULR338,Emerald Coach Jacket,Chess Patteren loafer,Long Hippie Perm,Wide Leather Bracelet,Guard,Deep Dawn,Party Room,Propeller Sound,Fly
78,40s,Red Brick,Brown Wool Coat,German Army Trainers,Comma Hairstyle,Lip Piercing,Soldier,Night,Messy Club,Screaming,Written In Blood
79,20s,Bereta APX,Stripe Turtleneck Knit,Black Chelsea Boots,Bald Hair,Buddhist Bead Bracelet,Soldier,Late Night,Officetel Underground Parkinglot,Backpack Stuff Shaking,Disposable Lighter
80,30s,Desert Eagle,Crop Vest Knit,German Army Trainers,Short Hair,Left Ear Pierced,Sanitation Worker,Night,Blackout Parking Lot,Quite Conversation,Maggot
81,20s,Machine Gun K15,Printed White Tshirt,Black Long Boots,Short Curly Hair,Black Disposable Mask,Homeless,Early Morning,Motel in Downtown,Plastic Beating Sound,Nail Tips
82,50s,Tetrodotoxin Powder,Grey Knit Shirt,Ivory Converse,Long Blonde hair,Stud Earrings,Cleaner,Deep Dawn,Dumpster,Hazy Music,Light Brown Hair
83,20s,Sulfuric Acid,Long Sleeve Tshirt,Strapped Leather Sandal,Black Short Babyperm,Skull Shaped Ring,Banker,Late Night,Cargo Truck Back,Skid Sounds,Light Brown Hair
84,70s,Submachine Gun K16,Logo Printed Windbreaker,Strapped Leather Sandal,Long Black Hair,Skull Shaped Ring,Athletic Trainer,Late Night,Ecological Park,Running Treadmill,Used Toilet Paper
85,30s,Rusty Hammer,Old Denim Jacket,Brown Leather Loafer,Brown Short Babyperm,Cross Charm Bracelet,Director,Late Night,Karaoke Underground,Computer Mouse Clicking,Fly
86,30s,Shinai,Short Padded Coat,White Platform Sneakers,Long Hippie Perm,Nose Piercing,Athlete,Morning,Famous Traditional Market,Toilet Flush Sound,Black Button
87,30s,Wire Saw,Green Hiking Jacket,Blue Football Boots,Two Block Haircut,Electronics Anklet,Firefighter,Morning,Karaoke Underground,People Having Conversation,Ripped Cloth
88,60s,Fishing Wire,Undershirt,Black Low Sneakers,Short Curly Hair,Thick Chain Nechlace,Janitor,Night,Back Seats,Skid Sounds,Crumpled Cigarette Package
89,30s,Police Nightstick,Charcoal Hoodie,Red Football Boots,Low Ponytail,Skull Shaped Ring,Photographer,Early Morning,Private English Academy,People Having Conversation,Black Hair
90,70s,Round Edged Stone,Long Field Jacket,Strapped Leather Sandal,Mid-long Curly Hair,Silver Stainless Ring,Sanitation Worker,Night,Old Studio Apartment,Phone Alarm Ringing,Women`s Underwear
91,20s,Cordless Drill,Black Hiking Jacket,Red Football Boots,Long Blonde hair,Black Disposable Mask,Mart Cashier,Late Night,Blackout Parking Lot,Water Flowing Sound,Arson Attempt
92,30s,Rusty Pickaxe,Long buttonless Cardigan,Black Long Boots,Long Layered Hair,Leg Prosthetics,Mechanic,Late Night,Single Corridor Apartment,Cars On Highway,Fly
93,30s,Collectible Suseok,Printed White Tshirt,Black Boots,High Ponytail,Millitary Backpack,Soldier,Late Night,Small Old Supermarket,Grind one`s Teeth,Maggot
94,30s,Female Stocking,Green Hiking Jacket,Bare Foot,Long Hippie Perm,Lion Shaped Ring,Mechanic,Morning,Old Studio Apartment,Remote Air Conditioner,Black Powder
95,40s,Teracotta Pot,Undershirt,White Running Shoes,Pink Permed Hair,Black Disposable Mask,Sanitation Worker,Night,Airbnb With Host,Plastic Beating Sound,Metal Fragments
96,40s,Female Stocking,Blue Shirt,Ochre Leather Loper,Short Curly Hair,Lip Piercing,Chef,Night,Single Corridor Apartment,Running Treadmill,Arson Attempt
97,30s,Wooden Handle Hatchet,Printed White Tshirt,Chess Patteren loafer,Brown Short Babyperm,Electronics Anklet,Sanitation Worker,Deep Dawn,Back Seats,Whistle,Feather
98,30s,Black Belt,Blue Shirt,Thigh High Wellies,Long Hair,Skull Shaped Ring,Hair Designer,Late Night,Inn Near Brothel,Dog Barking,Written In Blood
99,40s,Wooden Board,Black Hiking Jacket,Blue Football Boots,Black Short Babyperm,Black Disposable Mask,Banker,Morning,Dormitory High School,Remote Air Conditioner,Excrements
100,40s,Pesticide,Stripe Tshirt,Bare Foot,Pink Permed Hair,Electronics Anklet,Guard,Night,Members Only Studyroom,Digging With Shovel,Bullet
101,50s,Computer Monitor,Ivy League Hoodie,Strapped Leather Sandal,Low Ponytail,Buddhist Bead Bracelet,Nurse,Morning,Town Hall,People Having Conversation,Fly
102,30s,Flathead Screwdriver,Grey Hiking Jacket,White Basketball Shoes,Dandy Hairstyle,Lion Shaped Ring,Director,Deep Dawn,Messy Club,Running Treadmill,Weapon Without Fingerprint
103,50s,Computer Monitor,Luxury Brown Shearing,Strapped Leather Sandal,Buzz cut hair,Thick Chain Nechlace,Model,Night,Self Service Cafe,Spit On Ground,Ripped Cloth
104,30s,Flathead Screwdriver,Vest With Slits,Brown Leather Loafer,Black Short Babyperm,Buddhist Bead Bracelet,Professor,Night,Old Studio Apartment,Electric Fan Sound,Fly
105,30s,Metal Pipe,Jersey Zip Hoodie,White Basketball Shoes,Mid-long Curly Hair,Drop earrings,Professor,Deep Dawn,Self Service Cafe,People Having Conversation,Tape Recorded Voice
106,20s,Fabric Scissors,Pilot Bomber Jacket,Black Converse,Long Hippie Perm,Tennis Wristband,Nurse,Early Morning,Big Old Arboretum,Hammering Sound,Written In Blood
107,20s,Golf Club,Green Hiking Jacket,Black Boots,Short Permed Hair,Electronics Anklet,Actor,Deep Dawn,SUV Back Seats,Running Treadmill,Glass Fragments
108,20s,Porcelain Pot,Ivy League Hoodie,Suede Boat shoes,Long Permed Hair,Engagement Ring,Chef,Night,Deep Forest,TV Sports Commentaries,Fingerprints
109,20s,Computer Monitor,Undershirt,Brown Leather Loafer,Long Hair,Electronics Anklet,Guard,Morning,Karaoke Underground,People Having Conversation,Black Hair
110,30s,Hydrochloric Acid,Undershirt,Black Low Sneakers,Two Block Haircut,Black Backpack,Banker,Morning,Single Corridor Apartment,Chewing Paper Cup,Glass Fragments
111,20s,Red Brick,Grey Knit Shirt,Thigh High Wellies,Low Ponytail,Tennis Wristband,Soldier,Early Morning,House With Yard,Digging With Shovel,Women`s Underwear
112,30s,Shinai,Long Field Jacket,German Army Trainers,Mid-long Curly Hair,Millitary Backpack,Janitor,Night,Night Mountain,Fan Sound,Women`s Underwear
113,40s,Pry Bar,Short Padded Coat,White Platform Sneakers,Long Hippie Perm,Buddhist Bead Bracelet,Engineer,Around Midnight,Inn Near Brothel,Propeller Sound,Excrements
114,30s,Sharp Pencil,Cotton Zip Hoodie,White Platform Sneakers,Natural Two Block,Lip Piercing,Police Officer,Deep Dawn,Underground Grocery Store,Crack Knuckles,Body Hair
115,60s,Bereta APX,Green Hiking Jacket,Old Leather Oxford,Bob With Bangs,Chocker Necklace,Professor,Late Night,Closed Factory,Gas Range On,Arson Attempt
116,70s,Desert Eagle,Long buttonless Cardigan,Ochre Leather Loper,Pomade Hair,Electronics Anklet,Athletic Trainer,Night,Deep Forest,Cutlery Falling down,Fibrous Tissues
117,40s,Vintage Straight Razor,Ivy League Hoodie,Combat Boots,Natural Two Block,Lip Piercing,Janitor,Night,New Guest House,Plastic Beating Sound,Excrements
118,50s,Bottle of Propofol,Short Padded Coat,Red Converse,Long Brown hair,Leg Prosthetics,Carpenter,Late Afternoon,Inside Taxi,Propeller Sound,Written In Blood
119,50s,Beer Bottle,Stripe Tshirt,Red Football Boots,Long Black Hair,Black Disposable Mask,Athletic Trainer,Late Night,Semi Basement Apartment,Toilet Flush Sound,Nail Tips
120,60s,Flathead Screwdriver,Yellow Short Cardigan,Blue Football Boots,Natural Two Block,Left Ear Pierced,Director,Morning,Private English Academy,Sand Stepping Barefoot,Footprint 240mm Loper
121,50s,Wooden Board,Jersey Zip Hoodie,Old Leather Oxford,Dandy Hairstyle,Drop earrings,Sanitation Worker,Night,Small Theater Onstage,TV Sports Commentaries,Written In Blood
122,30s,Surgical Blade,Undershirt,Blue Football Boots,Pink Permed Hair,Drop earrings,Cleaner,Deep Dawn,Officetel Underground Parkinglot,Water Shaking,Fibrous Tissues
123,50s,Coca-cola Bottle,Grey Hiking Jacket,Knee High Wellies,Long Brown hair,Lion Shaped Ring,Actor,Night,Members Only Studyroom,People Having Conversation,Maggot
124,70s,Board With Nails,Jersey Zip Hoodie,Black Converse,Short Hair,Electronics Anklet,Hair Designer,Late Night,Hostel (Normal Dorm),Screaming,Fingerprints
125,40s,Ice Pick,Charcoal Hoodie,White Running Shoes,Short Hair,Buddhist Bead Bracelet,Engineer,Late Night,Rooftop Cafe,Phone Alarm Ringing,Women`s Underwear
126,20s,Walther PPK ,White Tshirt,Ochre Leather Loper,Pixie Cut,Skull Shaped Ring,Mechanic,Late Night,House With Yard,Joint twisted,Skid Mark
127,30s,Bottle of Propofol,Cotton Zip Hoodie,Ochre Leather Loper,Short Curly Hair,Millitary Backpack,Mechanic,Night,Self Service Bar,Computer Mouse Clicking,Crumpled Cigarette Package
128,60s,Chisel,Brown Wool Coat,Suede Boat shoes,Short Hair,Charm Earrings,Soldier,Night,Haunted House,Grill the Meat,Used Toilet Paper
129,40s,Wooden Board,Emerald Coach Jacket,Blue Colored Boots,High Ponytail,Gold Cross Necklace,Professor,Late Night,Karaoke Underground,Hammering Sound,Bullet
130,70s,Muscaria Mushroom,Grey Knit Shirt,Black Leather Loafer,Black Short Babyperm,Lion Shaped Ring,Engineer,Deep Dawn,Big Old Arboretum,Irregular Walking Sound,Nail Tips
131,20s,Golf Club,Grey Hiking Jacket,Chess Patteren loafer,Low Ponytail,Millitary Backpack,Guard,Night,Motel in Downtown,Pipe Hitting Wall,Disposable Lighter
132,30s,Tetrodotoxin Powder,Brown Wool Coat,Red Converse,Comma Hairstyle,Millitary Backpack,Chef,Late Night,Self Service Bar,Crack Knuckles,Arson Attempt
133,40s,Heavy Glass Ashtray,Grey Fleece Hoodie,Chess Patteren loafer,Short Curly Hair,Electronics Anklet,Nurse,Night,Office,Irregular Walking Sound,Black Hair
134,20s,Quick Pipe Wrench,Printed White Tshirt,Cherry Colored Boots,Mid-long Straight Hair,Engagement Ring,Athletic Trainer,Late Night,Old Studio Apartment,Cat Meow,Metal Fragments
135,20s,Jute Twine,Long Field Jacket,Black Boots,Comma Hairstyle,Electronics Anklet,Hotel Receptionist,Night,Motel in Backstreet,Sound of Chainsaw,Arson Attempt
136,50s,Rusty Shotgun,Blue Shirt,Suede Boat shoes,Low Ponytail,Cross Charm Bracelet,Mart Cashier,Late Night,Messy Goshiwon,Plastic Beating Sound,Arson Attempt
137,20s,Flathead Screwdriver,Grey Hiking Jacket,German Army Trainers,High Ponytail,Black Disposable Mask,Cleaner,Late Night,Night Mountain,Plastic Beating Sound,Paint Stain
138,20s,Climbing Rope,Grey Hiking Jacket,German Army Trainers,Bob With Bangs,Black Backpack,Sanitation Worker,Morning,Officetel Underground Parkinglot,Water Shaking,Skid Mark
139,50s,Monkey Wrench,Charcoal Hoodie,Ivowy Suede Moccasin,Pomade Hair,Black Backpack,Hair Designer,Morning,Old Studio Apartment,Hammering Sound,Bullet
140,20s,Thick Rubber Wire,Printed White Tshirt,Red Football Boots,Long Layered Hair,Engagement Ring,Chef,Morning,Sashimi Restaurant,Water Flowing Sound,Irregular Footprints
141,30s,Pry Bar,Ivy League Hoodie,White Basketball Shoes,Long Hair,Charm Earrings,Professor,Morning,Underground Parking Lot,Twisting Jaw joint,Chewed Gum
142,40s,Green Utility Knife,China Collar Shirt,Bare Foot,Pomade Hair,Lip Piercing,Athletic Trainer,Late Afternoon,Motel in Backstreet,Computer Mouse Clicking,Feather
143,30s,Monkey Wrench,Stripe Turtleneck Knit,White Platform Sneakers,Two Block Haircut,Silver Stainless Ring,Actor,Morning,Passenger Seat,People Having Conversation,Black Wig Hair
144,40s,Wodden Handle Shovel,Old Denim Jacket,Red Football Boots,Perm With Bangs,Engagement Ring,Nurse,Deep Dawn,Dumpster,Running Treadmill,Skid Mark
145,30s,Mechanical Pencil,Grey Knit Shirt,Ivory Converse,Brown Short Babyperm,Black Disposable Mask,Model,Late Night,Messy Club,Hammering Sound,Light Brown Hair
146,40s,Pesticide,Cotton Zip Hoodie,Brown Leather Loafer,Short Permed Hair,Silver Stainless Ring,Hotel Receptionist,Deep Dawn,Closed Amusement Park,Slip and Crash,Fingerprints
147,20s,Ivory Bowie Knife,Varsity Jacket,Cherry Colored Boots,Long Blonde hair,Charm Earrings,Mechanic,Deep Dawn,Small Theater Onstage,Computer Mouse Clicking,Maggot
148,20s,Monkey Wrench,Cotton Zip Hoodie,Ivory Converse,Pixie Cut,Thick Chain Nechlace,Nurse,Deep Dawn,Messy Goshiwon,Cutting Something,Light Brown Hair
149,30s,Disposable Syringe,Grey Hiking Jacket,Knee High Wellies,Bob With Bangs,Buddhist Bead Bracelet,Police Officer,Late Night,Amusement Park Pillar,Crack Knuckles,Black Hair
150,20s,Green Paring Knife,Cotton Zip Hoodie,Black Low Sneakers,Perm With Bangs,Buddhist Bead Bracelet,Hair Designer,Late Night,Shared Office Toilet,Grill the Meat,Excrements
151,40s,Surgical Blade,Brown Wool Coat,Brown Leather Loafer,Dandy Hairstyle,Colorful Bracelets,Sanitation Worker,Late Night,Town Hall,Finger Snap,Headlight
152,40s,WASP Injection Knife,Grey Knit Shirt,Black Low Sneakers,Long Hair,Cross Charm Bracelet,Nurse,Night,Underground Parking Lot,Whistle,Women`s Underwear
153,30s,Red Chainsaw,Long Sleeve Tshirt,White Running Shoes,Two Block Haircut,Skull Shaped Ring,Athletic Trainer,Morning,New Guest House,Propeller Sound,Paint Stain
154,50s,Machete,Lace Blouse,German Army Trainers,Short Permed Hair,Charm Earrings,Janitor,Early Morning,Self Service Bar,Reading Buddhist Text,Nail Tips
155,50s,Beer Bottle,Stripe Tshirt,Skyblue Flip Flop,Two Block Haircut,Black Disposable Mask,Model,Late Night,Inside Taxi,Fan Sound,Light Brown Hair
